,Trusted,YFinance,Diff
2005-12-05,11.6,11.600000381469727,3.8146972691777137e-07
2005-12-06,11.52,11.520000457763672,4.5776367230132564e-07
2005-12-07,12.18,12.180000305175781,3.051757815342171e-07
2005-12-08,12.21,12.210000038146973,3.814697180359872e-08
2005-12-09,11.69,11.6899995803833,4.196166987213701e-07
2005-12-12,11.47,11.470000267028809,2.6702880795426154e-07
2005-12-13,11.11,11.109999656677246,3.433227533378158e-07
2005-12-14,10.48,10.479999542236328,4.5776367230132564e-07
2005-12-15,10.73,10.729999542236328,4.5776367230132564e-07
2005-12-16,10.68,10.680000305175781,3.051757815342171e-07
2005-12-19,11.38,11.380000114440918,1.1444091718715299e-07
2005-12-20,11.19,11.1899995803833,4.196166987213701e-07
2005-12-21,10.81,10.8100004196167,4.196166987213701e-07
2005-12-22,10.29,10.289999961853027,3.814697180359872e-08
2005-12-23,10.27,10.270000457763672,4.5776367230132564e-07
2005-12-27,11.57,11.569999694824219,3.051757815342171e-07
2005-12-28,11.35,11.350000381469727,3.8146972691777137e-07
2005-12-29,11.61,11.609999656677246,3.433227533378158e-07
2005-12-30,12.07,12.069999694824219,3.051757815342171e-07
2006-01-03,11.14,11.140000343322754,3.433227533378158e-07
2006-01-04,11.37,11.369999885559082,1.1444091718715299e-07
2006-01-05,11.31,11.3100004196167,4.196166987213701e-07
2006-01-06,11.0,11.0,0.0
2006-01-09,11.13,11.130000114440918,1.1444091718715299e-07
2006-01-10,10.86,10.859999656677246,3.433227533378158e-07
2006-01-11,10.94,10.9399995803833,4.196166987213701e-07
2006-01-12,11.2,11.199999809265137,1.9073486257070726e-07
2006-01-13,11.23,11.229999542236328,4.5776367230132564e-07
2006-01-17,11.91,11.90999984741211,1.5258789076710855e-07
2006-01-18,12.25,12.25,0.0
2006-01-19,11.98,11.979999542236328,4.5776367230132564e-07
2006-01-20,14.56,14.5600004196167,4.196166987213701e-07
2006-01-23,13.93,13.930000305175781,3.051757815342171e-07
2006-01-24,13.31,13.3100004196167,4.196166987213701e-07
2006-01-25,12.87,12.869999885559082,1.1444091718715299e-07
2006-01-26,12.42,12.420000076293945,7.629394538355427e-08
2006-01-27,11.97,11.970000267028809,2.6702880795426154e-07
2006-01-30,12.39,12.390000343322754,3.433227533378158e-07
2006-01-31,12.95,12.949999809265137,1.9073486257070726e-07
2006-02-01,12.36,12.359999656677246,3.433227533378158e-07
2006-02-02,13.23,13.229999542236328,4.5776367230132564e-07
2006-02-03,12.96,12.960000038146973,3.814697180359872e-08
2006-02-06,13.04,13.039999961853027,3.814697180359872e-08
2006-02-07,13.59,13.59000015258789,1.5258789076710855e-07
2006-02-08,12.83,12.829999923706055,7.629394538355427e-08
2006-02-09,13.12,13.119999885559082,1.1444091718715299e-07
2006-02-10,12.87,12.869999885559082,1.1444091718715299e-07
2006-02-13,13.35,13.350000381469727,3.8146972691777137e-07
2006-02-14,12.25,12.25,0.0
2006-02-15,12.31,12.3100004196167,4.196166987213701e-07
2006-02-16,11.48,11.479999542236328,4.5776367230132564e-07
2006-02-17,12.01,12.010000228881836,2.2888183615066282e-07
2006-02-21,12.41,12.40999984741211,1.5258789076710855e-07
2006-02-22,11.88,11.880000114440918,1.1444091718715299e-07
2006-02-23,11.87,11.869999885559082,1.1444091718715299e-07
2006-02-24,11.46,11.460000038146973,3.814697180359872e-08
2006-02-27,11.59,11.59000015258789,1.5258789076710855e-07
2006-02-28,12.34,12.34000015258789,1.5258789076710855e-07
2006-03-01,11.54,11.539999961853027,3.814697180359872e-08
2006-03-02,11.72,11.720000267028809,2.6702880795426154e-07
2006-03-03,11.96,11.960000038146973,3.814697180359872e-08
2006-03-06,12.74,12.739999771118164,2.2888183615066282e-07
2006-03-07,12.66,12.65999984741211,1.5258789076710855e-07
2006-03-08,12.32,12.319999694824219,3.051757815342171e-07
2006-03-09,12.68,12.680000305175781,3.051757815342171e-07
2006-03-10,11.85,11.850000381469727,3.8146972691777137e-07
2006-03-13,11.37,11.369999885559082,1.1444091718715299e-07
2006-03-14,10.74,10.739999771118164,2.2888183615066282e-07
2006-03-15,11.35,11.350000381469727,3.8146972691777137e-07
2006-03-16,11.98,11.979999542236328,4.5776367230132564e-07
2006-03-17,12.12,12.119999885559082,1.1444091718715299e-07
2006-03-20,11.79,11.789999961853027,3.814697180359872e-08
2006-03-21,11.62,11.619999885559082,1.1444091718715299e-07
2006-03-22,11.21,11.210000038146973,3.814697180359872e-08
2006-03-23,11.17,11.170000076293945,7.629394538355427e-08
2006-03-24,11.19,11.1899995803833,4.196166987213701e-07
2006-03-27,11.46,11.460000038146973,3.814697180359872e-08
2006-03-28,11.58,11.579999923706055,7.629394538355427e-08
2006-03-29,10.95,10.949999809265137,1.9073486257070726e-07
2006-03-30,11.57,11.569999694824219,3.051757815342171e-07
2006-03-31,11.39,11.390000343322754,3.433227533378158e-07
2006-04-03,11.57,11.569999694824219,3.051757815342171e-07
2006-04-04,11.14,11.140000343322754,3.433227533378158e-07
2006-04-05,11.13,11.130000114440918,1.1444091718715299e-07
2006-04-06,11.45,11.449999809265137,1.9073486257070726e-07
2006-04-07,12.26,12.260000228881836,2.2888183615066282e-07
2006-04-10,12.19,12.1899995803833,4.196166987213701e-07
2006-04-11,13.0,13.0,0.0
2006-04-12,12.76,12.760000228881836,2.2888183615066282e-07
2006-04-13,12.38,12.380000114440918,1.1444091718715299e-07
2006-04-17,12.58,12.579999923706055,7.629394538355427e-08
2006-04-18,11.4,11.399999618530273,3.8146972691777137e-07
2006-04-19,11.32,11.319999694824219,3.051757815342171e-07
2006-04-20,11.64,11.640000343322754,3.433227533378158e-07
2006-04-21,11.59,11.59000015258789,1.5258789076710855e-07
2006-04-24,11.75,11.75,0.0
2006-04-25,11.75,11.75,0.0
2006-04-26,11.76,11.760000228881836,2.2888183615066282e-07
2006-04-27,11.84,11.84000015258789,1.5258789076710855e-07
2006-04-28,11.59,11.59000015258789,1.5258789076710855e-07
2006-05-01,12.54,12.539999961853027,3.814697180359872e-08
2006-05-02,11.99,11.989999771118164,2.2888183615066282e-07
2006-05-03,11.99,11.989999771118164,2.2888183615066282e-07
2006-05-04,11.86,11.859999656677246,3.433227533378158e-07
2006-05-05,11.62,11.619999885559082,1.1444091718715299e-07
2006-05-08,12.0,12.0,0.0
2006-05-09,11.99,11.989999771118164,2.2888183615066282e-07
2006-05-10,11.78,11.779999732971191,2.6702880795426154e-07
2006-05-11,12.49,12.489999771118164,2.2888183615066282e-07
2006-05-12,14.19,14.1899995803833,4.196166987213701e-07
2006-05-15,13.57,13.569999694824219,3.051757815342171e-07
2006-05-16,13.35,13.350000381469727,3.8146972691777137e-07
2006-05-17,16.26,16.260000228881836,2.2888183437430598e-07
2006-05-18,16.99,16.989999771118164,2.2888183437430598e-07
2006-05-19,17.18,17.18000030517578,3.051757815342171e-07
2006-05-22,17.72,17.719999313354492,6.866455066756316e-07
2006-05-23,18.26,18.260000228881836,2.2888183437430598e-07
2006-05-24,17.36,17.360000610351562,6.103515630684342e-07
2006-05-25,15.5,15.5,0.0
2006-05-26,14.26,14.260000228881836,2.2888183615066282e-07
2006-05-30,18.66,18.65999984741211,1.5258789076710855e-07
2006-05-31,16.44,16.440000534057617,5.340576159085231e-07
2006-06-01,14.52,14.520000457763672,4.5776367230132564e-07
2006-06-02,14.32,14.319999694824219,3.051757815342171e-07
2006-06-05,16.65,16.649999618530273,3.8146972514141453e-07
2006-06-06,17.34,17.34000015258789,1.5258789076710855e-07
2006-06-07,17.8,17.799999237060547,7.629394538355427e-07
2006-06-08,18.35,18.350000381469727,3.8146972514141453e-07
2006-06-09,18.12,18.1200008392334,8.392333974427402e-07
2006-06-12,20.96,20.959999084472656,9.155273446026513e-07
2006-06-13,23.81,23.809999465942383,5.340576159085231e-07
2006-06-14,21.46,21.459999084472656,9.155273446026513e-07
2006-06-15,15.9,15.899999618530273,3.8146972691777137e-07
2006-06-16,17.25,17.25,0.0
2006-06-19,17.83,17.829999923706055,7.629394360719743e-08
2006-06-20,16.69,16.690000534057617,5.340576159085231e-07
2006-06-21,15.52,15.520000457763672,4.5776367230132564e-07
2006-06-22,15.88,15.880000114440918,1.1444091718715299e-07
2006-06-23,15.89,15.890000343322754,3.433227533378158e-07
2006-06-26,15.62,15.619999885559082,1.1444091718715299e-07
2006-06-27,16.4,16.399999618530273,3.8146972514141453e-07
2006-06-28,15.79,15.789999961853027,3.814697180359872e-08
2006-06-29,13.03,13.029999732971191,2.6702880795426154e-07
2006-06-30,13.08,13.079999923706055,7.629394538355427e-08
2006-07-03,13.05,13.050000190734863,1.9073486257070726e-07
2006-07-05,14.15,14.149999618530273,3.8146972691777137e-07
2006-07-06,13.65,13.649999618530273,3.8146972691777137e-07
2006-07-07,13.97,13.970000267028809,2.6702880795426154e-07
2006-07-10,14.02,14.020000457763672,4.5776367230132564e-07
2006-07-11,13.14,13.140000343322754,3.433227533378158e-07
2006-07-12,14.49,14.489999771118164,2.2888183615066282e-07
2006-07-13,17.79,17.790000915527344,9.155273446026513e-07
2006-07-14,18.05,18.049999237060547,7.629394538355427e-07
2006-07-17,18.64,18.639999389648438,6.103515630684342e-07
2006-07-18,17.74,17.739999771118164,2.2888183437430598e-07
2006-07-19,15.55,15.550000190734863,1.9073486257070726e-07
2006-07-20,16.21,16.209999084472656,9.155273446026513e-07
2006-07-21,17.4,17.399999618530273,3.8146972514141453e-07
2006-07-24,14.98,14.979999542236328,4.5776367230132564e-07
2006-07-25,14.85,14.850000381469727,3.8146972691777137e-07
2006-07-26,14.62,14.619999885559082,1.1444091718715299e-07
2006-07-27,14.94,14.9399995803833,4.196166987213701e-07
2006-07-28,14.33,14.329999923706055,7.629394538355427e-08
2006-07-31,14.95,14.949999809265137,1.9073486257070726e-07
2006-08-01,15.05,15.050000190734863,1.9073486257070726e-07
2006-08-02,14.34,14.34000015258789,1.5258789076710855e-07
2006-08-03,14.46,14.460000038146973,3.814697180359872e-08
2006-08-04,14.34,14.34000015258789,1.5258789076710855e-07
2006-08-07,15.23,15.229999542236328,4.5776367230132564e-07
2006-08-08,15.23,15.229999542236328,4.5776367230132564e-07
2006-08-09,15.2,15.199999809265137,1.9073486257070726e-07
2006-08-10,14.46,14.460000038146973,3.814697180359872e-08
2006-08-11,14.3,14.300000190734863,1.9073486257070726e-07
2006-08-14,14.26,14.260000228881836,2.2888183615066282e-07
2006-08-15,13.42,13.420000076293945,7.629394538355427e-08
2006-08-16,12.41,12.40999984741211,1.5258789076710855e-07
2006-08-17,12.24,12.239999771118164,2.2888183615066282e-07
2006-08-18,11.64,11.640000343322754,3.433227533378158e-07
2006-08-21,12.22,12.220000267028809,2.6702880795426154e-07
2006-08-22,12.19,12.1899995803833,4.196166987213701e-07
2006-08-23,12.4,12.399999618530273,3.8146972691777137e-07
2006-08-24,12.4,12.399999618530273,3.8146972691777137e-07
2006-08-25,12.31,12.3100004196167,4.196166987213701e-07
2006-08-28,12.18,12.180000305175781,3.051757815342171e-07
2006-08-29,12.28,12.279999732971191,2.6702880795426154e-07
2006-08-30,12.22,12.220000267028809,2.6702880795426154e-07
2006-08-31,12.31,12.3100004196167,4.196166987213701e-07
2006-09-01,11.96,11.960000038146973,3.814697180359872e-08
2006-09-05,12.63,12.630000114440918,1.1444091718715299e-07
2006-09-06,13.74,13.739999771118164,2.2888183615066282e-07
2006-09-07,13.88,13.880000114440918,1.1444091718715299e-07
2006-09-08,13.16,13.15999984741211,1.5258789076710855e-07
2006-09-11,12.99,12.989999771118164,2.2888183615066282e-07
2006-09-12,11.92,11.920000076293945,7.629394538355427e-08
2006-09-13,11.18,11.180000305175781,3.051757815342171e-07
2006-09-14,11.55,11.550000190734863,1.9073486257070726e-07
2006-09-15,11.76,11.760000228881836,2.2888183615066282e-07
2006-09-18,11.78,11.779999732971191,2.6702880795426154e-07
2006-09-19,11.98,11.979999542236328,4.5776367230132564e-07
2006-09-20,11.39,11.390000343322754,3.433227533378158e-07
2006-09-21,12.25,12.25,0.0
2006-09-22,12.59,12.59000015258789,1.5258789076710855e-07
2006-09-25,12.12,12.119999885559082,1.1444091718715299e-07
2006-09-26,11.53,11.529999732971191,2.6702880795426154e-07
2006-09-27,11.58,11.579999923706055,7.629394538355427e-08
2006-09-28,11.72,11.720000267028809,2.6702880795426154e-07
2006-09-29,11.98,11.979999542236328,4.5776367230132564e-07
2006-10-02,12.57,12.569999694824219,3.051757815342171e-07
2006-10-03,12.24,12.239999771118164,2.2888183615066282e-07
2006-10-04,11.86,11.859999656677246,3.433227533378158e-07
2006-10-05,11.98,11.979999542236328,4.5776367230132564e-07
2006-10-06,11.56,11.5600004196167,4.196166987213701e-07
2006-10-09,11.68,11.680000305175781,3.051757815342171e-07
2006-10-10,11.52,11.520000457763672,4.5776367230132564e-07
2006-10-11,11.62,11.619999885559082,1.1444091718715299e-07
2006-10-12,11.09,11.09000015258789,1.5258789076710855e-07
2006-10-13,10.75,10.75,0.0
2006-10-16,11.09,11.09000015258789,1.5258789076710855e-07
2006-10-17,11.73,11.729999542236328,4.5776367230132564e-07
2006-10-18,11.34,11.34000015258789,1.5258789076710855e-07
2006-10-19,10.9,10.899999618530273,3.8146972691777137e-07
2006-10-20,10.63,10.630000114440918,1.1444091718715299e-07
2006-10-23,11.08,11.079999923706055,7.629394538355427e-08
2006-10-24,10.78,10.779999732971191,2.6702880795426154e-07
2006-10-25,10.66,10.65999984741211,1.5258789076710855e-07
2006-10-26,10.56,10.5600004196167,4.196166987213701e-07
2006-10-27,10.8,10.800000190734863,1.9073486257070726e-07
2006-10-30,11.2,11.199999809265137,1.9073486257070726e-07
2006-10-31,11.1,11.100000381469727,3.8146972691777137e-07
2006-11-01,11.51,11.510000228881836,2.2888183615066282e-07
2006-11-02,11.42,11.420000076293945,7.629394538355427e-08
2006-11-03,11.16,11.15999984741211,1.5258789076710855e-07
2006-11-06,11.16,11.15999984741211,1.5258789076710855e-07
2006-11-07,11.09,11.09000015258789,1.5258789076710855e-07
2006-11-08,10.75,10.75,0.0
2006-11-09,11.01,11.010000228881836,2.2888183615066282e-07
2006-11-10,10.79,10.789999961853027,3.814697180359872e-08
2006-11-13,10.86,10.859999656677246,3.433227533378158e-07
2006-11-14,10.5,10.5,0.0
2006-11-15,10.31,10.3100004196167,4.196166987213701e-07
2006-11-16,10.16,10.15999984741211,1.5258789076710855e-07
2006-11-17,10.05,10.050000190734863,1.9073486257070726e-07
2006-11-20,9.97,9.970000267028809,2.6702880795426154e-07
2006-11-21,9.9,9.899999618530273,3.8146972691777137e-07
2006-11-22,10.14,10.140000343322754,3.433227533378158e-07
2006-11-24,10.73,10.729999542236328,4.5776367230132564e-07
2006-11-27,12.3,12.300000190734863,1.9073486257070726e-07
2006-11-28,11.62,11.619999885559082,1.1444091718715299e-07
2006-11-29,10.83,10.829999923706055,7.629394538355427e-08
2006-11-30,10.91,10.90999984741211,1.5258789076710855e-07
2006-12-01,11.66,11.65999984741211,1.5258789076710855e-07
2006-12-04,11.23,11.229999542236328,4.5776367230132564e-07
2006-12-05,11.27,11.270000457763672,4.5776367230132564e-07
2006-12-06,11.33,11.329999923706055,7.629394538355427e-08
2006-12-07,12.67,12.670000076293945,7.629394538355427e-08
2006-12-08,12.07,12.069999694824219,3.051757815342171e-07
2006-12-11,10.71,10.710000038146973,3.814697180359872e-08
2006-12-12,10.65,10.649999618530273,3.8146972691777137e-07
2006-12-13,10.18,10.180000305175781,3.051757815342171e-07
2006-12-14,9.97,9.970000267028809,2.6702880795426154e-07
2006-12-15,10.05,10.050000190734863,1.9073486257070726e-07
2006-12-18,10.6,10.600000381469727,3.8146972691777137e-07
2006-12-19,10.3,10.300000190734863,1.9073486257070726e-07
2006-12-20,10.26,10.260000228881836,2.2888183615066282e-07
2006-12-21,10.53,10.529999732971191,2.6702880795426154e-07
2006-12-22,11.36,11.359999656677246,3.433227533378158e-07
2006-12-26,11.26,11.260000228881836,2.2888183615066282e-07
2006-12-27,10.64,10.640000343322754,3.433227533378158e-07
2006-12-28,10.99,10.989999771118164,2.2888183615066282e-07
2006-12-29,11.56,11.5600004196167,4.196166987213701e-07
2007-01-03,12.04,12.039999961853027,3.814697180359872e-08
2007-01-04,11.51,11.510000228881836,2.2888183615066282e-07
2007-01-05,12.14,12.140000343322754,3.433227533378158e-07
2007-01-08,12.0,12.0,0.0
2007-01-09,11.91,11.90999984741211,1.5258789076710855e-07
2007-01-10,11.47,11.470000267028809,2.6702880795426154e-07
2007-01-11,10.87,10.869999885559082,1.1444091718715299e-07
2007-01-12,10.15,10.149999618530273,3.8146972691777137e-07
2007-01-16,10.74,10.739999771118164,2.2888183615066282e-07
2007-01-17,10.59,10.59000015258789,1.5258789076710855e-07
2007-01-18,10.85,10.850000381469727,3.8146972691777137e-07
2007-01-19,10.4,10.399999618530273,3.8146972691777137e-07
2007-01-22,10.77,10.770000457763672,4.5776367230132564e-07
2007-01-23,10.34,10.34000015258789,1.5258789076710855e-07
2007-01-24,9.89,9.890000343322754,3.433227533378158e-07
2007-01-25,11.22,11.220000267028809,2.6702880795426154e-07
2007-01-26,11.13,11.130000114440918,1.1444091718715299e-07
2007-01-29,11.45,11.449999809265137,1.9073486257070726e-07
2007-01-30,10.96,10.960000038146973,3.814697180359872e-08
2007-01-31,10.42,10.420000076293945,7.629394538355427e-08
